Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Main Factor. Which of these was the main factor for leaving?,InstituteViews. Topic:1. I feel the senior leadership had a clear vision and direction,InstituteViews. Topic:2. I was given access to skills training to help me do my job better,InstituteViews. Topic:3. I was given adequate opportunities for personal development,InstituteViews. Topic:4. I was given adequate opportunities for promotion within %Institute]Q25LBL%,InstituteViews. Topic:5. I felt the salary for the job was right for the responsibilities I had,InstituteViews. Topic:6. The organisation recognised when staff did good work,InstituteViews. Topic:7. Management was generally supportive of me,InstituteViews. Topic:8. Management was generally supportive of my team,InstituteViews. Topic:9. I was kept informed of the changes in the organisation which would affect me,InstituteViews. Topic:10. Staff morale was positive within the Institute,InstituteViews. Topic:11. If I had a workplace issue it was dealt with quickly,InstituteViews. Topic:12. If I had a workplace issue it was dealt with efficiently,InstituteViews. Topic:13. If I had a workplace issue it was dealt with discreetly,WorkUnitViews. Topic:14. I was satisfied with the quality of the management and supervision within my work unit,WorkUnitViews. Topic:15. I worked well with my colleagues,WorkUnitViews. Topic:16. My job was challenging and interesting,WorkUnitViews. Topic:17. I was encouraged to use my initiative in the course of my work,WorkUnitViews. Topic:18. I had sufficient contact with other people in my job,WorkUnitViews. Topic:19. I was given adequate support and co-operation by my peers to enable me to do my job,WorkUnitViews. Topic:20. I was able to use the full range of my skills in my job,WorkUnitViews. Topic:21. I was able to use the full range of my abilities in my job. ; Category:Level of Agreement; Question:YOUR VIEWS ABOUT YOUR WORK UNIT],WorkUnitViews. Topic:22. I was able to use the full range of my knowledge in my job,WorkUnitViews. Topic:23. My job provided sufficient variety,WorkUnitViews. Topic:24. I was able to cope with the level of stress and pressure in my job,WorkUnitViews. Topic:25. My job allowed me to balance the demands of work and family to my satisfaction,WorkUnitViews. Topic:26. My supervisor gave me adequate personal recognition and feedback on my performance,"WorkUnitViews. Topic:27. My working environment was satisfactory e.g. sufficient space, good lighting, suitable seating and working area",WorkUnitViews. Topic:28. I was given the opportunity to mentor and coach others in order for me to pass on my skills and knowledge prior to my cessation date,WorkUnitViews. Topic:29. There was adequate communication between staff in my unit,WorkUnitViews. Topic:30. Staff morale was positive within my work unit,Induction. Did you undertake Workplace Induction?,InductionInfo. Topic:Did you undertake a Corporate Induction?,InductionInfo. Topic:Did you undertake a Institute Induction?,InductionInfo. Topic: Did you undertake Team Induction?,InductionInfo. Face to Face Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. On-line Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. Induction Manual Topic:Did you undertake a Corporate Induction?,InductionInfo. Face to Face Topic:Did you undertake a Institute Induction?,InductionInfo. On-line Topic:Did you undertake a Institute Induction?,InductionInfo. Induction Manual Topic:Did you undertake a Institute Induction?,InductionInfo. Face to Face Topic: Did you undertake Team Induction; Category?,InductionInfo. On-line Topic: Did you undertake Team Induction?process you undertook and how it was conducted.],InductionInfo. Induction Manual Topic: Did you undertake Team Induction?,Workplace. Topic:Did you and your Manager develop a Performance and Professional Development Plan (PPDP)?,Workplace. Topic:Does your workplace promote a work culture free from all forms of unlawful discrimination?,Workplace. Topic:Does your workplace promote and practice the principles of employment equity?,Workplace. Topic:Does your workplace value the diversity of its employees?,Workplace. Topic:Would you recommend the Institute as an employer to others?,Gender. What is your Gender?,CurrentAge. Current Age,Employment Type. Employment Type,Classification. Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
6.34775905600156e+17,Central Queensland Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,,Yes,,-,-,-,-,On-line,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,36  40,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34776478226875e+17,Southbank Institute of Technology,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Male,21  25,Temporary Full-time,Administration (AO),1-2,Less than 1 year
6.34779998192656e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,Other,-,,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,36  40,Temporary Full-time,Administration (AO),1-2,1-2
6.34781625247656e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34781649658281e+17,SkillsTech Australia,Non-Delivery (corporate),2012.0,Contract Expired,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,-,On-line,-,Face to Face,-,-,No,Yes,Yes,Yes,Yes,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34781660507187e+17,SkillsTech Australia,Delivery (teaching),2012.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34781843688125e+17,Central Queensland Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Yes,Yes,No,No,-,On-line,-,-,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,51-55,Permanent Part-time,Teacher (including LVT),5-6,1-2
6.34782721630781e+17,Southbank Institute of Technology,Non-Delivery (corporate),,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34783353732656e+17,Southbank Institute of Technology,Delivery (teaching),2012.0,Contract Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34786164810312e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2012.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,51-55,Contract/casual,Administration (AO),1-2,Less than 1 year
6.34786182825625e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Female,21  25,Permanent Full-time,Administration (AO),1-2,Less than 1 year
6.34786910427969e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Yes,No,Yes,Yes,-,-,-,-,On-line,-,Face to Face,-,-,No,Yes,Yes,Yes,Yes,Female,41  45,Temporary Full-time,Administration (AO),11-20,11-20
6.3478773004125e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Transfer,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Career Move - Public Sector,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,No,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34788542900625e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,No,Yes,Yes,Yes,Yes,Male,31  35,Temporary Full-time,Administration (AO),1-2,Less than 1 year
6.34789421680312e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Career Move - Private Sector,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,No,Yes,,Female,41  45,Permanent Full-time,Administration (AO),5-6,More than 20 years
6.34792964190156e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,51-55,Permanent Full-time,Administration (AO),More than 20 years,3-4
6.34793871139219e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,,,,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Contract/casual,Administration (AO),3-4,3-4
6.34794639635781e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34794857718438e+17,Tropical North Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Yes,No,No,Yes,-,-,-,-,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,No,Male,56 or older,Permanent Part-time,Teacher (including LVT),1-2,1-2
6.34799770843437e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Dissatisfaction with %[Institute]Q25LBL%,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Yes,No,Yes,No,-,-,-,-,On-line,-,-,-,-,No,No,No,No,No,Female,46  50,Temporary Full-time,Teacher (including LVT),1-2,1-2
6.3480076201625e+17,Southbank Institute of Technology,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,Induction Manual,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,26  30,Temporary Full-time,Administration (AO),3-4,3-4
6.34806706577344e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Retirement,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Operational (OO),More than 20 years,11-20
6.34807637421719e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Job Dissatisfaction,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Yes,Yes,Yes,No,Face to Face,-,-,-,On-line,-,-,-,-,No,Yes,Yes,No,No,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
6.348103446e+17,Wide Bay Institute of TAFE,Delivery (teaching),2012.0,Retirement,-,-,-,Ill Health,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Yes,Yes,Yes,No,Face to Face,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,No,Female,56 or older,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34811041501719e+17,Tropical North Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34811063824844e+17,Tropical North Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Neutral,Disagree,Disagree,Not Applicable,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Yes,,,,-,On-line,-,-,On-line,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,41  45,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34811069432813e+17,Southbank Institute of Technology,Non-Delivery (corporate),2012.0,Transfer,-,-,-,-,-,-,-,-,-,-,Other,-,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,26  30,Temporary Full-time,Administration (AO),3-4,3-4
6.34811182139844e+17,Southbank Institute of Technology,Delivery (teaching),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
6.34812805553281e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,Study,-,-,-,Job Dissatisfaction,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Permanent Full-time,Administration (AO),1-2,3-4
6.348129412025e+17,Tropical North Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34813581041094e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Yes,No,Yes,No,Face to Face,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,26  30,Temporary Full-time,Administration (AO),1-2,1-2
6.34816502884375e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,,,,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,36  40,Temporary Full-time,Administration (AO),1-2,1-2
6.3481720866375e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,Other,-,Job Dissatisfaction,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,No,Yes,Yes,Yes,No,Female,21  25,Temporary Full-time,Administration (AO),1-2,1-2
6.34818651570937e+17,Southbank Institute of Technology,Non-Delivery (corporate),2012.0,Resignation,-,-,-,Ill Health,-,-,-,-,-,-,-,-,,Disagree,,,,,,,,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34819687984062e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,Yes,Yes,-,-,-,-,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
6.34819735079219e+17,Southbank Institute of Technology,Non-Delivery (corporate),2012.0,Contract Expired,,,,,,,,,,,,,,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34823973840625e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2012.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,-,On-line,-,-,On-line,-,-,-,-,No,Yes,Yes,Yes,Yes,Male,21  25,Contract/casual,Administration (AO),1-2,Less than 1 year
6.34825003759375e+17,Tropical North Institute of TAFE,Delivery (teaching),2013.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Yes,No,,No,-,-,-,-,On-line,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,31  35,Permanent Part-time,Teacher (including LVT),3-4,3-4
